,tweet,label
0,kwani tanesco wanakataga umeme makusudinadhani kuna changamoto behind zinatakiwa zitatuliwe na sio kutoa matamko,0
1,cjawahi kuona content yoyote zaidi ya kuwa analalamika cjawahi kuona akitafuta solution ya tattizo zaid ya kulalamikabasi tutakuwa na rais wa ajabu huwa mwaka ,0
2,bomu lililokuwa limetegwa ndani ya gari likiwalenga wajenzi kutoka uturuki limelipuka katika eneo la afgoye kaskazini magharibi mwa mji mkuu wa mogadishu somalia limeua watu wanne polisi wamesema,0
3,kuna video inasambaa mitandaoni jamaa amemfumania mkewe akiwa na jamaa mwingine huku akimlalamikia jamaa akimwambia kw,0
4,viwavijeshi wanapita katika hatua kuu  za ukuaji katika hatua yake ya larvae mayai  hutagwa na larvae mmoja kwa mwezi hatua pekee inayowezesha kusambaa kwa viwa vijeshi ni kipepeo ambao huruka kwa makundi na wanaweza kuruka hadi kilometa ,0
5,familiandugumarafiki wana hofu kubwa juu ya watotondg zao walioko chinakulinda maisha ya watu na uhai ni kipaumbele,0
6,suala la miundombinu katika maeneo ya uchimbaji mdogo nchini iliyoulizwa kwenye imejibiwa kisiasa zai,0
7,klabu ya imemfukuza kocha wake sababu ikiwa ni kutokana na muendelezo wa matokeo mabovu ya klabu hiyo,0
8,waliomua kinyama mtoto wasakwa gt,0
9,mwenyekiti wa kijiji cha kilombero  wilayani geita amejikuta akisusia kikao kilichoitishwa na mkuu wa wilaya hiyo ambacho kilikuwa na lengo la kuleta suluhu baada ya wananchi kudaiwa kufunga ofisi ya kijiji kwa kile kilichoelezwa kuwa kuna ubadhirifu wa fedha ,0
10,wananchi wa mtaa wa nshinde wilayani geita wamelalamikia ubovu wa barabara inayoelekea fadhili bucha na mwatulole mkoani hapa kuwa kero kubwa kutokana na ubovu ambao umekuwa ukisababisha gari nyingi kukwama na kukosekana kwa baadhi ya huduma za usafiri ,0
11,wewe takataka sijui utakuwa linisasa linichokufanya uvamie mkutano wa chadema leo ni kitu gani hujaalikwa u,0
12,s day msanii wa muziki nchini tanzania ameendelea kuugulia maumivu ya kutokuwepo kwa mzazi mwenzake mchekeshaji mrembo boss martha aliyefariki septemba  ,0
13,imekuwa too muchwatu wanashindwa hata kusheherekea maisha yao kwa amanimtu unampost mke wake kumpongeza wameoana we unakuja kutukana kwenye comments watu hata huwajui,0
14,mama mzazi wa mwandishi wa habari za uchunguzi anayeshikiliwa na dola erick kabendera verdiana mjwahuzi amefariki dunia desemba  taarifa za kufariki kwake zimepatikana alfajiri ya leo januari mosi,0
15,tumepokea kwa masikitiko makubwa taarifa za kuuawa kwa katibu wa chadema jimbo la manyoni mashariki bw alex jonas usi,0
16,basi walitakiwa wawatoe kisiasa pia matumizi ya nguvu nyingi sio sahihihapo wameua hadi mtaji,0
17,mwanafunzi wa chuo kikuu cha dodoma tungu mgaya anashikiliwa na jeshi la polisi mkoani dodoma tangu jana kwa kutuhuma z,0
18,tatizo mlituma watu waandamane siku ileili kukimbia kichapolkn mbio za ukiongoni huishia farasi,0
